Sr.No,Month,Day,Date,Type,Event Name,Description,Field
1,"January","2","January 2","astro","Earth at Perihelion","Earth reaches its closest point to the Sun at ~147.1 million km. Despite being closest, the Northern Hemisphere has winter due to axial tilt of 23.44Â°.","Orbital Mechanics"
2,"January","3","January 3","astro","Quadrantids Meteor Shower Peak","One of the strongest annual showers with up to 120 meteors/hour. Originates from asteroid 2003 EH1 (possibly a dead comet). Best viewed after midnight.","Meteor Shower"
3,"February","18","February 18","astro","Pluto Discovery Anniversary (1930)","Clyde Tombaugh discovered Pluto at Lowell Observatory, Arizona by comparing photographic plates. Reclassified as dwarf planet in 2006.","Discovery"
4,"March","13","March 13","astro","Discovery of Uranus (1781)","William Herschel spotted Uranus with his homemade telescope from his garden in Bath, England â€” the first planet discovered since antiquity.","Discovery"
5,"March","14","March 14","astro","Pi Day","Celebrated on 3/14 matching Ï€ â‰ˆ 3.14159â€¦ Also Einstein\'s birthday. Pi is fundamental to circles, waves, quantum mechanics, and all of physics.","Mathematics"
6,"March","20","March 20","astro","Vernal Equinox","Sun crosses the celestial equator northward. Day and night ~equal worldwide. Beginning of spring (Northern Hemisphere).","Seasonal"
7,"April","12","April 12","astro","Cosmonautics Day â€” Gagarin\'s Flight (1961)","Yuri Gagarin became the first human in space aboard Vostok 1, orbiting Earth in 108 minutes. ""Poyekhali!"" (Let\'s go!)","Space History"
8,"April","22","April 22","astro","Lyrids Meteor Shower Peak","One of the oldest known showers â€” observed for 2,700 years since 687 BC. 10-20 meteors/hour from Comet Thatcher.","Meteor Shower"
9,"May","5","May 5","astro","Eta Aquarids Meteor Shower Peak","Debris from Halley\'s Comet! Up to 60 meteors/hour (Southern) or 10-30 (Northern). Fast meteors at 66 km/s.","Meteor Shower"
10,"June","20","June 20","astro","Summer Solstice","Sun at highest declination (+23.44Â°). Longest day in Northern Hemisphere with 16+ hours of sunlight.","Seasonal"
11,"July","4","July 4","astro","Earth at Aphelion","Earth reaches farthest point from the Sun at ~152.1 million km â€” 3.3% farther than at perihelion.","Orbital Mechanics"
12,"July","20","July 20","astro","Moon Day â€” Apollo 11 Landing (1969)","Neil Armstrong & Buzz Aldrin walked on the Moon. ""That\'s one small step for man, one giant leap for mankind."" 600 million watched.","Space History"
13,"July","28","July 28","astro","Delta Aquarids Meteor Shower Peak","Moderate shower with ~20 meteors/hour. Best from southern latitudes after midnight.","Meteor Shower"
14,"August","12","August 12","astro","Perseids Meteor Shower Peak","The most popular shower! 50-100+ bright meteors/hour from Comet Swift-Tuttle. Known for spectacular fireballs.","Meteor Shower"
15,"August","25","August 25","astro","Voyager 2 Neptune Flyby (1989)","First and only spacecraft to visit Neptune. Discovered 6 new moons, rings, and the Great Dark Spot.","Space History"
16,"September","22","September 22","astro","Autumnal Equinox","Sun crosses equator southward. Day â‰ˆ night worldwide. Autumn begins in Northern Hemisphere.","Seasonal"
17,"September","23","September 23","astro","Discovery of Neptune (1846)","Johann Galle found Neptune within 1Â° of the position predicted by Le Verrier\'s mathematics â€” a triumph of celestial mechanics.","Discovery"
18,"October","4","October 4","astro","Sputnik Launch / World Space Week (1957)","USSR launched the first artificial satellite. Its radio ""beep-beep"" launched the Space Age. UN-declared World Space Week: Oct 4-10.","Space History"
19,"October","8","October 8","astro","Draconids Meteor Shower Peak","Unusual shower best viewed in early evening. 5-10 meteors/hour from Comet 21P/Giacobini-Zinner.","Meteor Shower"
20,"October","21","October 21","astro","Orionids Meteor Shower Peak","From Halley\'s Comet debris. 15-20 fast meteors/hour at 66 km/s. Known for bright lingering trails.","Meteor Shower"
21,"November","4","November 4","astro","Taurids Meteor Shower Peak","The ""Halloween fireballs"" â€” slow, long-duration shower from Comet Encke. Famous for spectacular bright fireballs.","Meteor Shower"
22,"November","17","November 17","astro","Leonids Meteor Shower Peak","Famous for periodic meteor storms (~every 33 years). Normally 10-15/hour from Comet Tempel-Tuttle.","Meteor Shower"
23,"December","13","December 13","astro","Geminids Meteor Shower Peak","King of meteor showers! Up to 150 multicolored meteors/hour from asteroid 3200 Phaethon.","Meteor Shower"
24,"December","21","December 21","astro","Winter Solstice","Sun at lowest declination. Shortest day and longest night in Northern Hemisphere.","Seasonal"
25,"December","22","December 22","astro","Ursids Meteor Shower Peak","Minor shower: 5-10 meteors/hour from Comet 8P/Tuttle.","Meteor Shower"
26,"January","10","January 10","moon","New Moon (January)","Moon between Earth and Sun. Best night for deep-sky observation.","Lunar"
